V,Nb,Ti,Mo,Ta,Hf,Cr,Zr,W,Re,Liquidus temperature,Solidus temperature
0.1223,0.09797,0.11619,0.06669,0.07814,0.16705,0.12921,0.10972,0.06361,0.04913,2252.15671,1770.22251
0.10386,0.09101,0.10389,0.08224,0.09025,0.10339,0.09248,0.13752,0.08549,0.10988,2431.3409,1859.04368
0.09311,0.09117,0.10086,0.09219,0.09124,0.11396,0.09189,0.07732,0.10832,0.13994,2550.45095,2009.48958
0.09524,0.08733,0.09775,0.09725,0.09191,0.11358,0.0995,0.07453,0.11086,0.13207,2551.95029,2006.40259
0.12936,0.1168,0.1275,0.07402,0.06785,0.19249,0.14671,0.10836,0.0368,0.0001,2128.00678,1712.61754
0.10764,0.11983,0.10708,0.12598,0.09763,0.16259,0.1315,0.04786,0.07749,0.02239,2399.41733,1858.33983
0.10326,0.12675,0.09921,0.16683,0.10269,0.15628,0.13844,0.0092,0.08778,0.00957,2469.92321,1951.76294
0.0001,0.0001,0.64343,0.0001,0.0001,0.25305,0.0001,0.10282,0.0001,0.0001,1937.06968,1923.12725
0.10145,0.09175,0.08868,0.11942,0.10517,0.11919,0.11699,0.03975,0.11605,0.10155,2594.31732,2028.61256
0.09491,0.08214,0.08508,0.09678,0.10866,0.08424,0.08901,0.05848,0.13015,0.17054,2696.22879,2130.31672
0.11219,0.13138,0.11734,0.14111,0.07318,0.18727,0.13318,0.05909,0.04515,0.0001,2281.50421,1802.36291
0.09582,0.08376,0.08286,0.0945,0.11455,0.0746,0.08389,0.06036,0.13129,0.17837,2723.75449,2140.6111
0.1031,0.07895,0.07287,0.1234,0.11928,0.09794,0.11832,0.01097,0.14146,0.13372,2741.11902,2159.06301
0.12357,0.10546,0.11687,0.07377,0.08038,0.17541,0.12794,0.10429,0.05837,0.03394,2243.26168,1760.83093
0.10786,0.11883,0.10598,0.12605,0.09858,0.16133,0.13129,0.04631,0.07912,0.02466,2407.83785,1865.0983
0.09775,0.09026,0.09698,0.10335,0.09424,0.11928,0.1056,0.06778,0.10846,0.11629,2542.58087,1990.64878
0.10106,0.18307,0.18861,0.07891,0.03559,0.19294,0.1289,0.08215,0.00867,0.0001,2128.58816,1713.38623
0.09253,0.09699,0.09998,0.08945,0.09884,0.09241,0.07618,0.10146,0.10317,0.149,2568.54686,2000.02301
0.10189,0.097,0.10647,0.09266,0.08747,0.13729,0.10589,0.08561,0.09041,0.09531,2442.5709,1901.08132
0.10733,0.11352,0.10705,0.11611,0.0948,0.15835,0.12419,0.06014,0.07929,0.03922,2403.94309,1858.77855
0.1037,0.09672,0.10867,0.08672,0.08528,0.14114,0.10553,0.09268,0.08625,0.09332,2415.06177,1880.41358
0.09793,0.09228,0.1012,0.09844,0.09032,0.12437,0.10373,0.07752,0.10197,0.11224,2504.79883,1957.32367
0.10785,0.09061,0.1048,0.079,0.08969,0.10573,0.09879,0.14303,0.08103,0.09946,2399.82881,1831.46953
0.11993,0.0942,0.11382,0.06594,0.08073,0.14154,0.12617,0.13105,0.06601,0.06062,2273.13422,1768.16997
0.08837,0.20365,0.1209,0.08653,0.0608,0.19261,0.16301,0.06211,0.02192,0.0001,2182.00909,1748.2404
0.10873,0.09369,0.08676,0.09004,0.12084,0.02349,0.07478,0.18806,0.088,0.12562,2544.25915,1844.80885
0.06227,0.10324,0.2355,0.0842,0.0001,0.13735,0.07608,0.30105,0.0001,0.0001,1948.03131,1710.44819
0.11152,0.12506,0.11064,0.14762,0.08495,0.17562,0.13166,0.04547,0.06541,0.00205,2352.21691,1844.28517
0.12019,0.09426,0.11501,0.06474,0.07831,0.15411,0.1273,0.11899,0.06689,0.0602,2267.95955,1776.06792
0.1182,0.09278,0.10269,0.0732,0.09877,0.07148,0.11086,0.18498,0.06853,0.07851,2354.01426,1753.18932
0.11247,0.09012,0.10618,0.07485,0.08859,0.10927,0.10669,0.14881,0.07578,0.08724,2360.81486,1801.93397
0.10569,0.12326,0.09928,0.16497,0.09993,0.15802,0.14145,0.01544,0.08603,0.00593,2448.58808,1932.62067
0.09734,0.07621,0.08145,0.11021,0.10593,0.09588,0.10671,0.04339,0.1344,0.14847,2684.28313,2124.86832
0.09397,0.08913,0.09908,0.09476,0.09182,0.11331,0.09539,0.075,0.11024,0.13731,2555.34965,2012.41387
0.1024,0.10032,0.10558,0.09991,0.08988,0.14029,0.1095,0.07794,0.08974,0.08446,2446.02637,1899.81216
0.09479,0.088,0.09826,0.09633,0.09185,0.11353,0.09801,0.07475,0.11059,0.1339,2552.89535,2008.2653
0.1096,0.09124,0.10173,0.07975,0.09564,0.08928,0.09692,0.15518,0.08036,0.1003,2415.58484,1821.87965
0.0952,0.0936,0.09053,0.0947,0.11133,0.04484,0.06402,0.1509,0.10133,0.15355,2600.61705,1940.86667
0.05218,0.26836,0.14073,0.0001,0.0192,0.16608,0.30444,0.0487,0.0001,0.0001,1854.0737,1701.18228
0.1302,0.09376,0.11779,0.05422,0.07655,0.14807,0.14412,0.14389,0.05448,0.03692,2178.96131,1718.89083
0.12542,0.09826,0.11722,0.06383,0.07729,0.17089,0.13417,0.11104,0.06035,0.04153,2226.9033,1756.16385
0.09478,0.08125,0.08532,0.09759,0.10721,0.08697,0.09098,0.05662,0.13054,0.16873,2691.48157,2131.84426
0.09418,0.09278,0.09431,0.0916,0.10478,0.06154,0.06873,0.13812,0.10162,0.15232,2579.51439,1956.2468
0.09557,0.07556,0.08343,0.10374,0.10372,0.09338,0.1013,0.04948,0.13422,0.15961,2683.55483,2132.07406
0.11303,0.11454,0.27683,0.0691,0.0001,0.15637,0.07377,0.18587,0.01029,0.0001,2007.47369,1722.58524
0.05392,0.25384,0.10275,0.02559,0.03973,0.17256,0.30688,0.04454,0.0001,0.0001,1935.4795,1730.3495
0.099,0.101,0.085,0.125,0.139,0.08,0.078,0.001,0.147,0.145,2835.09342,2313.87665
0.093,0.17,0.051,0.248,0.168,0.001,0.007,0.001,0.16,0.101,3013.69609,2821.75985
0.09,0.192,0.117,0.229,0.153,0.05,0.001,0.001,0.111,0.056,2842.67709,2595.73649
0.001,0.208,0.001,0.359,0.237,0.001,0.001,0.001,0.142,0.049,3096.00575,3016.13551
0.127,0.044,0.001,0.047,0.139,0.049,0.031,0.087,0.068,0.407,2846.37993,2495.83512
0.029,0.274,0.03,0.349,0.196,0.001,0.001,0.001,0.084,0.035,2965.68988,2887.09184
0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2746.40055,2740.91066
0.001,0.728,0.001,0.001,0.001,0.264,0.001,0.001,0.001,0.001,2526.72594,2433.46127
0.1,0.14,0.05,0.224,0.173,0.001,0.01,0.001,0.186,0.115,3054.89814,2832.53662
0.057,0.249,0.072,0.293,0.168,0.005,1e-07,0.001,0.093,0.062,2932.55368,2821.05099
0.115,0.115,0.113,0.123,0.159,0.065,0.039,0.001,0.155,0.115,2865.5298,2418.11199
0.108,0.111,0.107,0.125,0.154,0.056,0.039,0.001,0.161,0.138,2900.74841,2464.34431
0.102,0.205,0.118,0.303,0.115,0.043,0.001,0.001,0.07,0.042,2785.95116,2582.67863
0.124,0.22,0.077,0.492,0.026,0.018,0.001,0.001,0.001,0.04,2720.07175,2607.2643
0.112,0.138,0.124,0.15,0.166,0.047,0.014,0.001,0.154,0.094,2890.21978,2540.38899
0.089,0.2,0.113,0.257,0.141,0.045,0.001,0.001,0.097,0.056,2833.706,2609.82165
0.113,0.107,0.109,0.126,0.158,0.043,0.03,0.001,0.171,0.142,2938.11503,2532.06892
0.076,0.246,0.074,0.366,0.112,0.022,0.001,0.001,0.039,0.063,2830.12572,2693.35613
0.139,0.088,0.082,0.137,0.166,0.019,0.009,0.001,0.209,0.15,3046.39963,2707.87573
0.001,0.991,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2746.40055,2740.91066
0.027,0.495,0.013,0.459,0.001,0.001,0.001,0.001,0.001,0.001,2794.32357,2733.64513
0.139,0.09,0.081,0.14,0.167,0.017,0.007,0.001,0.209,0.149,3050.51674,2722.68018
0.095,0.077,0.045,0.106,0.128,0.066,0.09,0.01,0.146,0.237,2892.22165,2353.675
0.104,0.098,0.093,0.123,0.147,0.053,0.054,0.001,0.166,0.161,2919.00927,2458.47084
0.119,0.12,0.12,0.125,0.164,0.06,0.028,0.001,0.157,0.106,2873.32579,2454.00296
0.009,0.295,0.02,0.384,0.204,0.001,0.001,0.001,0.068,0.017,2960.23205,2905.0555
0.068,0.217,0.095,0.263,0.153,0.033,0.001,0.001,0.098,0.071,2884.37521,2691.88532
0.085,0.181,0.073,0.238,0.161,0.018,0.01,0.001,0.142,0.091,2951.36347,2719.88791
